row,description,parameter,base_case_value,distribution,alpha,beta,reference_source
1,UST Induction Trial Endpoint Proportion,UST Week 6 Response Probability,0.56,"Beta(a,b)",116,93,12
2,UST Induction Trial Endpoint Ratio,UST Week 6 Remitter:Responder Ratio,0.63,"Uniform(a,b)",0.50,0.76,12
3,ADA Induction Trial Endpoint Proportion,ADA Week 4 Response Probability,0.5,"Beta(a,b)",38,38,21
4,ADA Induction Trial Endpoint Ratio,ADA Week 4 Remitter:Responder Ratio,0.72,"Uniform(a,b)",0.58,0.86,21
5,IFX Efficacy Ratio,IFX:ADA Efficacy Ratio,1.00,"Uniform(a,b)",0.8,1.2,"Assumed, 13"
6,Induction Adjustment Ratio for Indirect Comparison,IFX Induction Remission Adjustment Ratio,1.016,"Uniform(a,b)",0.81,1.22,"12, 21"
7,Induction Adjustment Ratio for Indirect Comparison,IFX Induction Responder Adjustment Ratio,0.56,"Uniform(a,b)",0.45,0.67,"12, 21"
8,Induction Adjustment Ratio for Indirect Comparison,ADA Induction Remission Adjustment Ratio,1.016,"Uniform(a,b)",0.81,1.22,"12, 21"
9,Induction Adjustment Ratio for Indirect Comparison,ADA Induction Responder Adjustment Ratio,0.56,"Uniform(a,b)",0.45,0.67,"12, 21"
10,UST Maintenance Trial Endpoint Proportion,UST Week 44 Remission Probability in Patients in Remission at Baseline,0.67,"Beta(a,b)",52,26,12
11,UST Maintenance Trial Endpoint Proportion,UST Week 44 Remission Probability in Patients Not in Remission at Baseline,0.32,"Beta(a,b)",16,34,12
12,UST Maintenance Trial Endpoint Proportion,UST Week 44 Response Probability,0.59,"Beta(a,b)",76,52,12
13,UST Maintenance Trial Endpoint Ratio,UST Week 44 Remitter:Responder Ratio,0.89,"Uniform(a,b)",0.81,0.98,12
14,IFX Maintenance Trial Endpoint Proportion,IFX Week 52 Response Probability,0.39,"Beta(a,b)",44,69,23
15,IFX Maintenance Trial Endpoint Ratio,IFX Week 52 Remitter:Responder Ratio,0.72,"Uniform(a,b)",0.58,0.87,23
16,Maintenance Adjustment Ratio for Indirect Comparison,IFX Maintenance Remission to Remission Adjustment Ratio,0.73,"Uniform(a,b)",0.58,0.88,"12, 23"
17,Maintenance Adjustment Ratio for Indirect Comparison,IFX Maintenance Mild to Remission Adjustment Ratio,3.43,"Uniform(a,b)",2.74,4.12,"12, 23"
18,Maintenance Adjustment Ratio for Indirect Comparison,IFX Maintenance Responder Adjustment Ratio,0.81,"Uniform(a,b)",0.65,0.97,"12, 23"
19,ADA Maintenance Trial Endpoint Proportion,ADA Week 52 Remission Probability in Patients in Remission at Week 22,0.81,"Beta(a,b)",56,16,22
20,ADA Maintenance Trial Endpoint Proportion,ADA Week 52 Remission Probability in Patients Not in Remission at Week 22,0.06,"Beta(a,b)",6,94,22
21,ADA Maintenance Trial Endpoint Proportion,ADA Week 52 Response Probability,0.41,"Beta(a,b)",71,101,22
22,ADA Maintenance Trial Endpoint Ratio,ADA Week 52 Remitter:Responder Ratio,0.87,"Uniform(a,b)",0.79,0.96,22
23,Maintenance Adjustment Ratio for Indirect Comparison,ADA Maintenance Remission to Remission Adjustment Ratio,0.73,"Uniform(a,b)",0.58,0.88,"12, 22"
24,Maintenance Adjustment Ratio for Indirect Comparison,ADA Maintenance Mild to Remission Adjustment Ratio,3.43,"Uniform(a,b)",2.74,4.12,"12, 22"
25,Maintenance Adjustment Ratio for Indirect Comparison,ADA Maintenance Responder Adjustment Ratio,0.94,"Uniform(a,b)",0.76,1.13,"12, 22"
26,Placebo UST Maintenance Trial Endpoint Proportion,CT Week 44 Remission Probability in Patients in Remission at Baseline,0.46,"Beta(a,b)",36,43,12
27,Placebo UST Maintenance Trial Endpoint Proportion,CT Week 44 Remission Probability in Patients Not in Remission at Baseline,0.21,"Beta(a,b)",11,41,12
28,Placebo UST Maintenance Trial Endpoint Proportion,CT Week 44 Response Probability,0.44,"Beta(a,b)",58,73,12
29,Placebo UST Maintenance Trial Endpoint Ratio,CT Week 44 Remitter:Responder Ratio,0.81,"Uniform(a,b)",0.65,0.97,12
30,CT Transition Probability,CT 2-Week M-S to M-SR Probability,0.050,"Uniform(a,b)",0.04,0.06,Assumed
31,CT Transition Probability,CT 2-Week M-S to Mild Probability,0.050,"Uniform(a,b)",0.04,0.06,Assumed
32,Proportion for Calculating Transition Probabilities,Proportion of Responders that Transition to Mild,0.50,"Uniform(a,b)",0.4,0.6,Assumed
33,Surgery Rate from Clinical Trail,Placebo Surgery Rate per 100 Responders per 54 weeks,126,"Uniform(a,b)",101,151,10
34,Surgery Rate from Clinical Trail,IFX Surgery Rate per 100 Responders per 54 weeks,65,"Uniform(a,b)",52,78,10
35,Out of Surgery Transition Probability,8-Week Surgery to M-S Probability,0.060,"Uniform(a,b)",0.048,0.072,"13, 14"
36,Out of Surgery Transition Probability,8-Week Surgery to Mild/M-SR Probability,0.075,"Uniform(a,b)",0.06,0.09,"13, 14"
37,Out of Surgery Transition Probability,8-Week Surgery to Surgery Probability,0.34,"Uniform(a,b)",0.27,0.40,"13, 14"
38,Direct Cost,"Mild-Moderate CD-related PMPM Mean Pharmacy Cost, 2008 USD",$111,"Gamma(a,b)",2644,0.042,32
39,Direct Cost,"Moderate-Severe CD-related PMPM Mean Total Cost, 2008 USD",$374,"Gamma(a,b)",2508,0.15,32
40,Direct Cost,"Moderate-Severe CD-related PMPM Mean Pharmacy Cost, 2008 USD",$123,"Gamma(a,b)",2093,0.059,32
41,Direct Cost,"Mild-Moderate CD-related PMPM Mean Total Cost, 2008 USD",$152,"Gamma(a,b)",1427,0.11,32
42,Direct Cost,"Remission CD-related PMPM Mean Total Cost, 2008 USD",$17,"Gamma(a,b)",181,0.094,32
43,Direct Cost,"Severe-Fulminant CD-related PMPM Mean Total Cost, 2008 USD","$1,475","Gamma(a,b)",34,43,32
44,Direct Cost,"Difference in Annual OOP Costs: CD Patients and Non-CD Patients, 2010 USD",$737,"Gamma(a,b)",1,737,33
45,Time,Infusion Minutes of Treatment Time,$150,"Uniform(a,b)",120,180,"Assumed, 31"
46,Time,Monitoring/Management Minutes of Treatment Time,84,"Gamma(a,b)",3010,0.028,34
47,Time,Surgery/Procedure Minutes of Treatment Time,210,"Uniform(a,b)",168,252,Assumed
48,Time,Minutes of Travel Time (All Adults Seeking Care for Self or Others),37,"Gamma(a,b)",1316,0.028,34
49,EQ-5D Utility,Remission,0.82,"Uniform(a,b)",0.66,0.98,"13, 15"
50,EQ-5D Utility Ratio,Mild:Remission Ratio,0.89,"Uniform(a,b)",0.80,0.98,"13, 15"
51,EQ-5D Utility Ratio,M-SR:Mild Ratio,0.89,"Uniform(a,b)",0.80,0.98,"13, 15, 35"
52,EQ-5D Utility Ratio,M-S:M-SR Ratio,0.87,"Uniform(a,b)",0.79,0.96,"13, 15, 35"
53,EQ-5D Utility Ratio,Surgery:M-SR Ratio,0.87,"Uniform(a,b)",0.79,0.96,"13, 15, 35"
54,Direct Cost,"Drug Administration (Infusion), 2007 USD",$239,-,-,-,31
55,Compensation,"Average Hourly Compensation, June 2017 USD",$35,-,-,-,27
56,Direct Cost,FSS UST induction Unit Cost (130 mg vial),"$1,512",-,-,-,28
57,Direct Cost,"FSS UST Maintenance Unit Cost (90 mg Syringe), September 2017 USD","$9,693",-,-,-,28
58,Direct Cost,"FSS IFX Unit Cost (100 mg Vial), September 2017 USD",$656,-,-,-,28
59,Direct Cost,"FSS ADA Unit Cost (40 mg Syringe), September 2017 USD","$1,384",-,-,-,28
