"age_years","qx_prob_1yr","lx","dx","Lx","Tx","ex_years"
0,0.005588,100000,559,99515,7842141,78.4
1,0.000439,99441,44,99419,7742626,77.9
2,0.000283,99398,28,99384,7643207,76.9
3,0.000213,99369,21,99359,7543824,75.9
4,0.000161,99348,16,99340,7444465,74.9
5,0.000149,99332,15,99325,7345124,73.9
6,0.000136,99317,13,99311,7245799,73
7,0.000125,99304,12,99298,7146489,72
8,0.000113,99292,11,99286,7047191,71
9,0.0001,99280,10,99275,6947905,70
10,0.000092,99271,9,99266,6848629,69
11,0.000101,99261,10,99256,6749364,68
12,0.000137,99251,14,99245,6650107,67
13,0.000206,99238,20,99228,6550863,66
14,0.000299,99217,30,99203,6451635,65
15,0.0004,99188,40,99168,6352432,64
16,0.000497,99148,49,99123,6253265,63.1
17,0.000587,99099,58,99070,6154141,62.1
18,0.000666,99041,66,99008,6055072,61.1
19,0.000739,98975,73,98938,5956064,60.2
20,0.000817,98901,81,98861,5857126,59.2
21,0.000899,98821,89,98776,5758265,58.3
22,0.000971,98732,96,98684,5659489,57.3
23,0.001031,98636,102,98585,5560805,56.4
24,0.001081,98534,106,98481,5462220,55.4
25,0.001126,98428,111,98372,5363739,54.5
26,0.001177,98317,116,98259,5265367,53.6
27,0.001243,98201,122,98140,5167108,52.6
28,0.001327,98079,130,98014,5068967,51.7
29,0.001422,97949,139,97879,4970953,50.8
30,0.00152,97810,149,97735,4873074,49.8
31,0.001611,97661,157,97582,4775339,48.9
32,0.001693,97504,165,97421,4677756,48
33,0.001765,97339,172,97253,4580335,47.1
34,0.001834,97167,178,97078,4483082,46.1
35,0.001904,96989,185,96896,4386005,45.2
36,0.001983,96804,192,96708,4289109,44.3
37,0.002074,96612,200,96512,4192401,43.4
38,0.002179,96412,210,96307,4095889,42.5
39,0.002295,96202,221,96091,3999582,41.6
40,0.002424,95981,233,95864,3903491,40.7
41,0.002557,95748,245,95626,3807627,39.8
42,0.002678,95503,256,95375,3712001,38.9
43,0.002784,95247,265,95115,3616626,38
44,0.002888,94982,274,94845,3521511,37.1
45,0.003008,94708,285,94566,3426666,36.2
46,0.003163,94423,299,94274,3332100,35.3
47,0.003356,94124,316,93966,3237826,34.4
48,0.003586,93809,336,93640,3143860,33.5
49,0.003843,93472,359,93293,3050220,32.6
50,0.00412,93113,384,92921,2956927,31.8
51,0.00442,92729,410,92524,2864006,30.9
52,0.004752,92319,439,92100,2771481,30
53,0.00513,91881,471,91645,2679381,29.2
54,0.005562,91409,508,91155,2587736,28.3
55,0.006022,90901,547,90627,2496581,27.5
56,0.006524,90354,589,90059,2405954,26.6
57,0.007106,89764,638,89445,2315895,25.8
58,0.007769,89126,692,88780,2226450,25
59,0.008476,88434,750,88059,2137670,24.2
60,0.009202,87684,807,87281,2049611,23.4
61,0.009926,86877,862,86446,1962330,22.6
62,0.010656,86015,917,85557,1875884,21.8
63,0.011405,85098,971,84613,1790327,21
64,0.012197,84128,1026,83615,1705714,20.3
65,0.013054,83102,1085,82559,1622099,19.5
66,0.014088,82017,1155,81439,1539540,18.8
67,0.015075,80861,1219,80252,1458101,18
68,0.01615,79642,1286,78999,1377849,17.3
69,0.017324,78356,1357,77678,1298849,16.6
70,0.01846,76999,1421,76288,1221172,15.9
71,0.019921,75577,1506,74825,1144884,15.1
72,0.021541,74072,1596,73274,1070059,14.4
73,0.023476,72476,1701,71626,996785,13.8
74,0.025685,70775,1818,69866,925160,13.1
75,0.028219,68957,1946,67984,855294,12.4
76,0.030546,67011,2047,65988,787310,11.7
77,0.034523,64964,2243,63843,721322,11.1
78,0.037655,62721,2362,61540,657479,10.5
79,0.042211,60360,2548,59086,595939,9.9
80,0.046538,57812,2690,56466,536853,9.3
81,0.052311,55121,2883,53680,480387,8.7
82,0.058338,52238,3047,50714,426707,8.2
83,0.064645,49190,3180,47600,375993,7.6
84,0.071961,46010,3311,44355,328393,7.1
85,0.079677,42699,3402,40998,284038,6.7
86,0.08958,39297,3520,37537,243040,6.2
87,0.100503,35777,3596,33979,205502,5.7
88,0.112498,32181,3620,30371,171523,5.3
89,0.125607,28561,3587,26767,141152,4.9
90,0.139858,24974,3493,23227,114385,4.6
91,0.155262,21481,3335,19813,91158,4.2
92,0.171809,18146,3118,16587,71344,3.9
93,0.189467,15028,2847,13604,54757,3.6
94,0.208176,12181,2536,10913,41153,3.4
95,0.22785,9645,2198,8546,30240,3.1
96,0.248376,7447,1850,6523,21694,2.9
97,0.269615,5598,1509,4843,15172,2.7
98,0.291405,4088,1191,3493,10328,2.5
99,0.313565,2897,908,2443,6836,2.4
100,1,1989,1989,4393,4393,2.2
