# commit: 883a7a569a4b36623c3a0509d38be664e899c028
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"maintenance_cap","induction_window_weeks","pi_cure","h_per_year","price_source","price_usd_per_course","reporting_horizon","reporting_horizon_years","bia_route_usd","frontier_route_usd","agreement_usd"
"on",8,0.25,0,"frontier_P_star",85198.3470637985,"3yr",3,81187.6827880909,NA,NA
"on",8,0.25,0,"frontier_P_star",85198.3470637985,"30yr",30,59936.1361526801,NA,NA
"on",8,0.25,0,"frontier_P_star",85198.3470637985,"40yr",40,56225.0909366539,NA,NA
"on",8,0.25,0,"frontier_P_star",85198.3470637985,"lifetime",65,53396.1651866169,53396.1651866169,-1.45519152283669e-11
"on",8,0.25,0,"observed_analog_list_price",410300,"3yr",3,406289.335724292,NA,NA
"on",8,0.25,0,"observed_analog_list_price",410300,"30yr",30,385037.789088882,NA,NA
"on",8,0.25,0,"observed_analog_list_price",410300,"40yr",40,381326.743872855,NA,NA
"on",8,0.25,0,"observed_analog_list_price",410300,"lifetime",65,378497.818122818,378497.818122818,0
"on",8,0.5,0,"frontier_P_star",173052.055669256,"3yr",3,164284.158045292,NA,NA
"on",8,0.5,0,"frontier_P_star",173052.055669256,"30yr",30,121759.739242174,NA,NA
"on",8,0.5,0,"frontier_P_star",173052.055669256,"40yr",40,114332.246379377,NA,NA
"on",8,0.5,0,"frontier_P_star",173052.055669256,"lifetime",65,108668.620503184,108668.620503184,-2.47382558882236e-10
"on",8,0.5,0,"observed_analog_list_price",410300,"3yr",3,401532.102376036,NA,NA
"on",8,0.5,0,"observed_analog_list_price",410300,"30yr",30,359007.683572918,NA,NA
"on",8,0.5,0,"observed_analog_list_price",410300,"40yr",40,351580.190710121,NA,NA
"on",8,0.5,0,"observed_analog_list_price",410300,"lifetime",65,345916.564833928,345916.564833928,-2.91038304567337e-10
"on",8,0.75,0,"frontier_P_star",260905.764274716,"3yr",3,247380.633302495,NA,NA
"on",8,0.75,0,"frontier_P_star",260905.764274716,"30yr",30,183583.34233167,NA,NA
"on",8,0.75,0,"frontier_P_star",260905.764274716,"40yr",40,172439.401822103,NA,NA
"on",8,0.75,0,"frontier_P_star",260905.764274716,"lifetime",65,163941.075819753,163941.075819753,5.82076609134674e-11
"on",8,0.75,0,"observed_analog_list_price",410300,"3yr",3,396774.869027779,NA,NA
"on",8,0.75,0,"observed_analog_list_price",410300,"30yr",30,332977.578056954,NA,NA
"on",8,0.75,0,"observed_analog_list_price",410300,"40yr",40,321833.637547387,NA,NA
"on",8,0.75,0,"observed_analog_list_price",410300,"lifetime",65,313335.311545037,313335.311545037,1.16415321826935e-10
"on",8,1,0,"frontier_P_star",348759.472880178,"3yr",3,330477.1085597,NA,NA
"on",8,1,0,"frontier_P_star",348759.472880178,"30yr",30,245406.945421169,NA,NA
"on",8,1,0,"frontier_P_star",348759.472880178,"40yr",40,230546.55726483,NA,NA
"on",8,1,0,"frontier_P_star",348759.472880178,"lifetime",65,219213.531136325,219213.531136325,-2.91038304567337e-11
