# commit: 4a95e874c3b92973d5ed4577bb8cebe7d09f8123
# spec_sha256: 7377ef3cb2949720c28e3ecdd800621e5460ca5e300d5f815f68374800f993b4
"scenario_id","scenario_group_id","uptake_shape","uptake_ramp_period_years","uptake_logistic_steepness_per_year","maintenance_cap","induction_window_weeks","price_source","price_usd_per_course","pi_cure","h_per_year","lambda_usd_per_qaly","terminal_uptake_share","assumed_eligible_population_patients","reporting_horizon","reporting_horizon_years","horizon_class","is_base_case_horizon","discounted","discounting_base_case","patients_newly_treated_first_year_patients","patients_ever_treated_patients","final_year_net_budget_impact_usd_per_year","final_year_net_budget_impact_usd_pmpm","cumulative_net_budget_impact_usd","offset_captured_share","required_cure_fraction_all_treated"
"s8-lin-capon-h00-pi025-pstar-u025-n100000-1yr-disc","capon-h00-pi025-pstar-u025-n100000-1yr-disc","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,5000,5000,418497912.31,34.87,418497912.31,0.047128,0.25
"s8-lin-capon-h00-pi025-pstar-u100-n100000-1yr-disc","capon-h00-pi025-pstar-u100-n100000-1yr-disc","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,20000,20000,1673991649.23,139.5,1673991649.23,0.047128,0.25
"s8-log-capon-h00-pi025-pstar-u025-n100000-1yr-disc","capon-h00-pi025-pstar-u025-n100000-1yr-disc","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,3140.67544054163,3140.67544054163,262873223.02,21.91,262873223.02,0.047128,0.25
"s8-log-capon-h00-pi025-pstar-u100-n100000-1yr-disc","capon-h00-pi025-pstar-u100-n100000-1yr-disc","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,12562.7017621665,12562.7017621665,1051492892.08,87.62,1051492892.08,0.047128,0.25
"s8-imm-capon-h00-pi025-pstar-u025-n100000-1yr-disc","capon-h00-pi025-pstar-u025-n100000-1yr-disc","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,25000,25000,2092489561.53,174.37,2092489561.53,0.047128,0.25
"s8-imm-capon-h00-pi025-pstar-u100-n100000-1yr-disc","capon-h00-pi025-pstar-u100-n100000-1yr-disc","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,1e+05,1e+05,8369958246.14,697.5,8369958246.14,0.047128,0.25
"s8-lin-capon-h00-pi025-analog-u025-n100000-1yr-disc","capon-h00-pi025-analog-u025-n100000-1yr-disc","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,5000,5000,2044006176.99,170.33,2044006176.99,0.047128,1.175122
"s8-lin-capon-h00-pi025-analog-u100-n100000-1yr-disc","capon-h00-pi025-analog-u100-n100000-1yr-disc","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,20000,20000,8176024707.95,681.34,8176024707.95,0.047128,1.175122
"s8-log-capon-h00-pi025-analog-u025-n100000-1yr-disc","capon-h00-pi025-analog-u025-n100000-1yr-disc","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,3140.67544054163,3140.67544054163,1283912000.08,106.99,1283912000.08,0.047128,1.175122
"s8-log-capon-h00-pi025-analog-u100-n100000-1yr-disc","capon-h00-pi025-analog-u100-n100000-1yr-disc","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,TRUE,FALSE,12562.7017621665,12562.7017621665,5135648000.3,427.97,5135648000.3,0.047128,1.175122
