# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"therapy","induction_window_weeks","maintenance_cap","horizon","horizon_years","discounted_cost_usd","discounted_qaly","undiscounted_life_years","dose_cycles_charged"
"IFX",4,"on","lifetime",65,138194.281617571,17.510086584584,45.1962591542042,13
"IFX",4,"off","lifetime",65,139988.92896085,17.5494074189785,45.1962591542043,422
"IFX",8,"on","lifetime",65,139304.377027644,17.5005206272805,45.202868546687,13
"IFX",8,"off","lifetime",65,141094.842544347,17.539749468806,45.202868546687,422
"IFX",4,"on","30yr",30,110539.950548382,13.8933844358799,28.567209880681,13
"IFX",4,"off","30yr",30,112331.066554262,13.9326089942655,28.5672098806811,195
"IFX",8,"on","30yr",30,111796.491202693,13.9029709515896,28.6372099955806,13
"IFX",8,"off","30yr",30,113583.438047264,13.9421038613179,28.6372099955806,195
"IFX",4,"on","40yr",40,126257.061488721,15.9489072676246,36.4632244489365,13
"IFX",4,"off","40yr",40,128051.388946084,15.9882193569308,36.4632244489365,260
"IFX",8,"on","40yr",40,127458.190092547,15.951246857652,36.5230943426503,13
"IFX",8,"off","40yr",40,129248.337475204,15.9904670017691,36.5230943426504,260
