# commit: a97e75530ae93c0683ff5c53496ee5df0a088578
# spec_sha256: a85c11b0f32710be93f7ffc049a0cf15d689ac7bef6e9d8aaeaebf2be8c981b7
"leg","maintenance_cap","induction_window_weeks","h_per_year","pi_cure","lambda_usd_per_qaly","price_source","price_usd_per_course","arrangement","installment_length_years","installment_financing_rate_per_year","rebate_share","outcome_observation_years","reporting_horizon","reporting_horizon_years","discounted","route_model_usd","route_independent_usd","agreement_usd","route_model_share","route_independent_share","agreement_share","timing_gap_closed_share"
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,TRUE,335683732.614365,335683732.614365,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,TRUE,340793388.255194,340793388.255194,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,TRUE,279777159.62909,279777159.62909,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,TRUE,283994490.212662,283994490.212662,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,TRUE,720078801.906608,720078801.906608,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,TRUE,749559140.498322,749559140.498322,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,TRUE,397523855.553917,397523855.553917,-1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,TRUE,421855893.228517,421855893.228517,5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,TRUE,756643809.364304,756643809.364304,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,TRUE,827527697.204433,827527697.204433,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,TRUE,374704360.0282,374704360.0282,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,TRUE,421855893.228517,421855893.228517,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,TRUE,2.38418579101562e-07,0,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,TRUE,113695036.274691,113695036.27469,2.83122062683105e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,TRUE,-2.38418579101562e-07,0,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,TRUE,57959293.9853704,57959293.9853703,7.45058059692383e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,TRUE,2.38418579101562e-07,0,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,TRUE,113695036.27469,113695036.27469,4.4703483581543e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,TRUE,-2.38418579101562e-07,0,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,TRUE,57959293.9853704,57959293.9853703,7.45058059692383e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,FALSE,335683732.614365,335683732.614365,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,FALSE,340793388.255194,340793388.255194,5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,FALSE,279777159.62909,279777159.62909,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,FALSE,283994490.212662,283994490.212662,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,FALSE,736127189.729213,736127189.729213,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,FALSE,766785123.574187,766785123.574187,1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,FALSE,400687751.817564,400687751.817563,2.98023223876953e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,FALSE,425991735.318993,425991735.318993,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,FALSE,775338636.025552,775338636.025551,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,FALSE,851983470.637985,851983470.637985,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,FALSE,375383768.316134,375383768.316134,1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,FALSE,425991735.318993,425991735.318992,1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,FALSE,-127741391.020722,-127741391.020722,2.83122062683105e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,FALSE,-63259958.7535725,-63259958.7535725,7.45058059692383e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,FALSE,-127741391.020722,-127741391.020722,2.83122062683105e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,FALSE,-63259958.7535722,-63259958.7535725,3.12924385070801e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"frontier_P_star",85198.3470637985,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,TRUE,1616592812.39973,1616592812.39973,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,TRUE,1641200000,1641200000,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,TRUE,1347356756.93164,1347356756.93164,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,TRUE,1367666666.66667,1367666666.66667,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,TRUE,3467770709.22565,3467770709.22565,-4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,TRUE,3609742746.72448,3609742746.72448,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,TRUE,1914403783.11138,1914403783.11138,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,TRUE,2031582524.27185,2031582524.27185,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,TRUE,3643861244.74576,3643861244.74576,1.43051147460938e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,TRUE,3985225369.55708,3985225369.55708,9.5367431640625e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,TRUE,1804509174.39097,1804509174.39097,1.43051147460938e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,TRUE,2031582524.27184,2031582524.27184,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,TRUE,1.9073486328125e-06,0,1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,TRUE,547534958.026518,547534958.026516,1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,TRUE,279121592.633598,279121592.633598,5.96046447753906e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,TRUE,1.9073486328125e-06,0,1.9073486328125e-06,NA,NA,NA,NA
