# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"induction_window_weeks","maintenance_cap","lambda_usd_per_qaly","h_per_year","pi_cure","price_star_usd_per_course"
4,"on",50000,0,0,-1728.78024494543
4,"on",50000,0,0.01,664.15069787472
4,"on",50000,0,0.02,3057.0816406887
4,"on",50000,0,0.03,5450.01258350385
4,"on",50000,0,0.04,7842.94352632156
4,"on",50000,0,0.05,10235.8744691428
4,"on",50000,0,0.06,12628.8054119569
4,"on",50000,0,0.07,15021.7363547735
4,"on",50000,0,0.08,17414.6672975901
4,"on",50000,0,0.09,19807.5982404081
4,"on",50000,0,0.1,22200.5291832265
4,"on",50000,0,0.11,24593.460126045
4,"on",50000,0,0.12,26986.3910688625
4,"on",50000,0,0.13,29379.3220116758
4,"on",50000,0,0.14,31772.2529544953
4,"on",50000,0,0.15,34165.1838973106
4,"on",50000,0,0.16,36558.114840129
4,"on",50000,0,0.17,38951.0457829471
4,"on",50000,0,0.18,41343.9767257615
4,"on",50000,0,0.19,43736.9076685815
4,"on",50000,0,0.2,46129.838611398
4,"on",50000,0,0.21,48522.7695542125
4,"on",50000,0,0.22,50915.7004970273
4,"on",50000,0,0.23,53308.6314398493
4,"on",50000,0,0.24,55701.5623826621
4,"on",50000,0,0.25,58094.4933254832
4,"on",50000,0,0.26,60487.4242683017
4,"on",50000,0,0.27,62880.3552111168
4,"on",50000,0,0.28,65273.286153935
4,"on",50000,0,0.29,67666.2170967534
4,"on",50000,0,0.3,70059.1480395696
4,"on",50000,0,0.31,72452.0789823831
4,"on",50000,0,0.32,74845.0099252004
4,"on",50000,0,0.33,77237.9408680184
4,"on",50000,0,0.34,79630.8718108367
4,"on",50000,0,0.35,82023.8027536543
4,"on",50000,0,0.36,84416.7336964695
4,"on",50000,0,0.37,86809.6646392873
4,"on",50000,0,0.38,89202.5955821032
4,"on",50000,0,0.39,91595.5265249215
4,"on",50000,0,0.4,93988.4574677366
4,"on",50000,0,0.41,96381.388410559
4,"on",50000,0,0.42,98774.3193533734
4,"on",50000,0,0.43,101167.25029619
4,"on",50000,0,0.44,103560.181239006
4,"on",50000,0,0.45,105953.112181826
4,"on",50000,0,0.46,108346.043124645
4,"on",50000,0,0.47,110738.974067457
4,"on",50000,0,0.48,113131.905010276
4,"on",50000,0,0.49,115524.83595309
4,"on",50000,0,0.5,117917.766895909
4,"on",50000,0,0.51,120310.697838728
4,"on",50000,0,0.52,122703.628781543
4,"on",50000,0,0.53,125096.559724361
4,"on",50000,0,0.54,127489.490667177
4,"on",50000,0,0.55,129882.421609994
4,"on",50000,0,0.56,132275.352552815
4,"on",50000,0,0.57,134668.283495629
4,"on",50000,0,0.58,137061.214438446
4,"on",50000,0,0.59,139454.145381265
4,"on",50000,0,0.6,141847.07632408
4,"on",50000,0,0.61,144240.007266898
4,"on",50000,0,0.62,146632.938209718
4,"on",50000,0,0.63,149025.869152532
4,"on",50000,0,0.64,151418.800095349
4,"on",50000,0,0.65,153811.731038166
4,"on",50000,0,0.66,156204.661980984
4,"on",50000,0,0.67,158597.592923803
4,"on",50000,0,0.68,160990.523866615
4,"on",50000,0,0.69,163383.454809435
4,"on",50000,0,0.7,165776.385752253
4,"on",50000,0,0.71,168169.316695069
4,"on",50000,0,0.72,170562.247637888
4,"on",50000,0,0.73,172955.178580704
4,"on",50000,0,0.74,175348.109523522
4,"on",50000,0,0.75,177741.040466336
4,"on",50000,0,0.76,180133.971409154
4,"on",50000,0,0.77,182526.902351971
4,"on",50000,0,0.78,184919.83329479
4,"on",50000,0,0.79,187312.764237608
4,"on",50000,0,0.8,189705.695180427
4,"on",50000,0,0.81,192098.626123241
4,"on",50000,0,0.82,194491.557066056
4,"on",50000,0,0.83,196884.488008874
4,"on",50000,0,0.84,199277.418951695
4,"on",50000,0,0.85,201670.34989451
4,"on",50000,0,0.86,204063.280837326
4,"on",50000,0,0.87,206456.211780145
4,"on",50000,0,0.88,208849.142722963
4,"on",50000,0,0.89,211242.07366578
4,"on",50000,0,0.9,213635.004608596
4,"on",50000,0,0.91,216027.935551411
4,"on",50000,0,0.92,218420.866494228
4,"on",50000,0,0.93,220813.797437045
4,"on",50000,0,0.94,223206.728379861
4,"on",50000,0,0.95,225599.659322681
4,"on",50000,0,0.96,227992.590265494
4,"on",50000,0,0.97,230385.521208314
4,"on",50000,0,0.98,232778.452151133
4,"on",50000,0,0.99,235171.383093946
4,"on",50000,0,1,237564.314036764
4,"on",50000,0.05,0,-1728.78024494543
4,"on",50000,0.05,0.01,-557.258119276259
4,"on",50000,0.05,0.02,614.264006394777
4,"on",50000,0.05,0.03,1785.78613206663
4,"on",50000,0.05,0.04,2957.30825773929
4,"on",50000,0.05,0.05,4128.83038340532
4,"on",50000,0.05,0.06,5300.3525090738
4,"on",50000,0.05,0.07,6471.874634746
4,"on",50000,0.05,0.08,7643.39676041796
4,"on",50000,0.05,0.09,8814.9188860805
4,"on",50000,0.05,0.1,9986.44101175817
4,"on",50000,0.05,0.11,11157.9631374237
4,"on",50000,0.05,0.12,12329.4852631016
4,"on",50000,0.05,0.13,13501.0073887686
4,"on",50000,0.05,0.14,14672.5295144436
4,"on",50000,0.05,0.15,15844.0516401074
4,"on",50000,0.05,0.16,17015.5737657804
4,"on",50000,0.05,0.17,18187.095891449
4,"on",50000,0.05,0.18,19358.618017123
4,"on",50000,0.05,0.19,20530.1401427946
4,"on",50000,0.05,0.2,21701.6622684646
4,"on",50000,0.05,0.21,22873.1843941328
4,"on",50000,0.05,0.22,24044.7065198048
4,"on",50000,0.05,0.23,25216.2286454657
4,"on",50000,0.05,0.24,26387.7507711411
4,"on",50000,0.05,0.25,27559.2728968096
4,"on",50000,0.05,0.26,28730.7950224828
4,"on",50000,0.05,0.27,29902.317148153
4,"on",50000,0.05,0.28,31073.8392738227
4,"on",50000,0.05,0.29,32245.3613994932
4,"on",50000,0.05,0.3,33416.8835251651
4,"on",50000,0.05,0.31,34588.4056508389
4,"on",50000,0.05,0.32,35759.9277765033
4,"on",50000,0.05,0.33,36931.449902173
4,"on",50000,0.05,0.34,38102.9720278513
4,"on",50000,0.05,0.35,39274.4941535156
4,"on",50000,0.05,0.36,40446.0162791923
4,"on",50000,0.05,0.37,41617.5384048575
4,"on",50000,0.05,0.38,42789.0605305318
4,"on",50000,0.05,0.39,43960.5826561938
4,"on",50000,0.05,0.4,45132.104781869
4,"on",50000,0.05,0.41,46303.6269075415
4,"on",50000,0.05,0.42,47475.1490332094
4,"on",50000,0.05,0.43,48646.6711588771
4,"on",50000,0.05,0.44,49818.1932845544
4,"on",50000,0.05,0.45,50989.715410221
4,"on",50000,0.05,0.46,52161.2375358957
4,"on",50000,0.05,0.47,53332.7596615657
4,"on",50000,0.05,0.48,54504.2817872361
4,"on",50000,0.05,0.49,55675.8039129034
4,"on",50000,0.05,0.5,56847.3260385715
4,"on",50000,0.05,0.51,58018.8481642436
4,"on",50000,0.05,0.52,59190.3702899178
4,"on",50000,0.05,0.53,60361.8924155871
4,"on",50000,0.05,0.54,61533.4145412564
4,"on",50000,0.05,0.55,62704.9366669236
4,"on",50000,0.05,0.56,63876.4587925944
4,"on",50000,0.05,0.57,65047.9809182689
4,"on",50000,0.05,0.58,66219.5030439404
4,"on",50000,0.05,0.59,67391.0251696097
4,"on",50000,0.05,0.6,68562.5472952778
4,"on",50000,0.05,0.61,69734.0694209494
4,"on",50000,0.05,0.62,70905.5915466152
4,"on",50000,0.05,0.63,72077.1136722884
4,"on",50000,0.05,0.64,73248.6357979599
4,"on",50000,0.05,0.65,74420.1579236259
4,"on",50000,0.05,0.66,75591.6800493001
4,"on",50000,0.05,0.67,76763.2021749663
4,"on",50000,0.05,0.68,77934.7243006356
4,"on",50000,0.05,0.69,79106.2464263071
4,"on",50000,0.05,0.7,80277.7685519774
4,"on",50000,0.05,0.71,81449.2906776496
4,"on",50000,0.05,0.72,82620.8128033156
4,"on",50000,0.05,0.73,83792.3349289901
4,"on",50000,0.05,0.74,84963.8570546646
4,"on",50000,0.05,0.75,86135.3791803331
4,"on",50000,0.05,0.76,87306.9013059994
4,"on",50000,0.05,0.77,88478.4234316653
4,"on",50000,0.05,0.78,89649.9455573409
4,"on",50000,0.05,0.79,90821.4676830106
4,"on",50000,0.05,0.8,91992.9898086811
4,"on",50000,0.05,0.81,93164.5119343533
4,"on",50000,0.05,0.82,94336.0340600213
4,"on",50000,0.05,0.83,95507.556185698
4,"on",50000,0.05,0.84,96679.0783113657
4,"on",50000,0.05,0.85,97850.6004370318
4,"on",50000,0.05,0.86,99022.1225627032
4,"on",50000,0.05,0.87,100193.644688377
4,"on",50000,0.05,0.88,101365.166814043
4,"on",50000,0.05,0.89,102536.688939715
4,"on",50000,0.05,0.9,103708.211065382
4,"on",50000,0.05,0.91,104879.733191059
4,"on",50000,0.05,0.92,106051.255316725
4,"on",50000,0.05,0.93,107222.777442398
4,"on",50000,0.05,0.94,108394.299568068
4,"on",50000,0.05,0.95,109565.821693738
4,"on",50000,0.05,0.96,110737.343819406
4,"on",50000,0.05,0.97,111908.865945079
4,"on",50000,0.05,0.98,113080.388070748
4,"on",50000,0.05,0.99,114251.910196416
4,"on",50000,0.05,1,115423.432322092
4,"on",50000,0.1,0,-1728.78024494543
4,"on",50000,0.1,0.01,-983.441795160878
4,"on",50000,0.1,0.02,-238.103345366428
4,"on",50000,0.1,0.03,507.235104425345
4,"on",50000,0.1,0.04,1252.57355421118
4,"on",50000,0.1,0.05,1997.91200399876
4,"on",50000,0.1,0.06,2743.25045379286
4,"on",50000,0.1,0.07,3488.58890358056
4,"on",50000,0.1,0.08,4233.92735337035
4,"on",50000,0.1,0.09,4979.2658031563
4,"on",50000,0.1,0.1,5724.60425295157
4,"on",50000,0.1,0.11,6469.94270273473
4,"on",50000,0.1,0.12,7215.28115252382
