# commit: 6361cf13768b42e61969ae5ee24f505a16b1c03f
# spec_sha256: 33fb719c79072b1c1c98442899a3d3f77128b62342937afc902080c73dda6635
"induction_window_weeks","maintenance_cap","lambda_usd_per_qaly","h_per_year","pi_cure","price_star_usd_per_course"
4,"on",50000,0,0,-1728.79621171253
4,"on",50000,0,0.25,58095.8189372298
4,"on",50000,0,0.5,117920.434086169
4,"on",50000,0,0.75,177745.04923511
4,"on",50000,0,1,237569.664384052
4,"on",50000,0.05,0,-1728.79621171253
4,"on",50000,0.05,0.25,27558.4360114357
4,"on",50000,0.05,0.5,56845.6682345908
4,"on",50000,0.05,0.75,86132.9004577458
4,"on",50000,0.05,1,115420.132680898
4,"on",50000,0.1,0,-1728.79621171253
4,"on",50000,0.1,0.25,16904.2594615772
4,"on",50000,0.1,0.5,35537.3151348698
4,"on",50000,0.1,0.75,54170.3708081651
4,"on",50000,0.1,1,72803.4264814567
4,"on",1e+05,0,0,-2671.09678815212
4,"on",1e+05,0,0.25,84671.2104306472
4,"on",1e+05,0,0.5,172013.517649441
4,"on",1e+05,0,0.75,259355.824868237
4,"on",1e+05,0,1,346698.132087035
4,"on",1e+05,0.05,0,-2671.09678815212
4,"on",1e+05,0.05,0.25,40100.8838997204
4,"on",1e+05,0.05,0.5,82872.8645876062
4,"on",1e+05,0.05,0.75,125644.845275492
4,"on",1e+05,0.05,1,168416.825963371
4,"on",1e+05,0.1,0,-2671.09678815212
4,"on",1e+05,0.1,0.25,24528.0599892642
4,"on",1e+05,0.1,0.5,51727.2167666869
4,"on",1e+05,0.1,0.75,78926.3735441146
4,"on",1e+05,0.1,1,106125.530321535
4,"on",150000,0,0,-3613.39736459125
4,"on",150000,0,0.25,111246.601924065
4,"on",150000,0,0.5,226106.601212712
4,"on",150000,0,0.75,340966.600501365
4,"on",150000,0,1,455826.599790019
4,"on",150000,0.05,0,-3613.39736459125
4,"on",150000,0.05,0.25,52643.3317880053
4,"on",150000,0.05,0.5,108900.060940621
4,"on",150000,0.05,0.75,165156.790093239
4,"on",150000,0.05,1,221413.519245845
4,"on",150000,0.1,0,-3613.39736459125
4,"on",150000,0.1,0.25,32151.8605169514
4,"on",150000,0.1,0.5,67917.1183985043
4,"on",150000,0.1,0.75,103682.376280064
4,"on",150000,0.1,1,139447.634161614
4,"off",50000,0,0,-1731.72961547505
4,"off",50000,0,0.25,58173.0231320648
4,"off",50000,0,0.5,118077.775879602
4,"off",50000,0,0.75,177982.52862714
4,"off",50000,0,1,237887.28137468
4,"off",50000,0.05,0,-1731.72961547505
4,"off",50000,0.05,0.25,27509.4135263521
4,"off",50000,0.05,0.5,56750.5566681795
4,"off",50000,0.05,0.75,85991.6998100114
4,"off",50000,0.05,1,115232.842951839
4,"off",50000,0.1,0,-1731.72961547505
4,"off",50000,0.1,0.25,16866.8025343961
4,"off",50000,0.1,0.5,35465.3346842685
4,"off",50000,0.1,0.75,54063.8668341434
4,"off",50000,0.1,1,72662.3989840185
4,"off",1e+05,0,0,-2687.82604958676
4,"off",1e+05,0,0.25,84246.5573022971
4,"off",1e+05,0,0.5,171180.940654176
4,"off",1e+05,0,0.75,258115.324006057
4,"off",1e+05,0,1,345049.70735794
4,"off",1e+05,0.05,0,-2687.82604958676
4,"off",1e+05,0.05,0.25,39828.7807135894
4,"off",1e+05,0.05,0.5,82345.3874767651
4,"off",1e+05,0.05,0.75,124861.994239951
4,"off",1e+05,0.05,1,167378.601003128
4,"off",1e+05,0.1,0,-2687.82604958676
4,"off",1e+05,0.1,0.25,24350.5319492191
4,"off",1e+05,0.1,0.5,51388.8899480277
4,"off",1e+05,0.1,0.75,78427.2479468416
4,"off",1e+05,0.1,1,105465.605945655
4,"off",150000,0,0,-3643.922483698
4,"off",150000,0,0.25,110320.09147253
4,"off",150000,0,0.5,224284.10542875
4,"off",150000,0,0.75,338248.119384974
4,"off",150000,0,1,452212.1333412
4,"off",150000,0.05,0,-3643.922483698
4,"off",150000,0.05,0.25,52148.1479008268
4,"off",150000,0.05,0.5,107940.218285352
4,"off",150000,0.05,0.75,163732.288669892
4,"off",150000,0.05,1,219524.359054417
4,"off",150000,0.1,0,-3643.922483698
4,"off",150000,0.1,0.25,31834.2613640423
4,"off",150000,0.1,0.5,67312.4452117872
4,"off",150000,0.1,0.75,102790.62905954
4,"off",150000,0.1,1,138268.812907292
8,"on",50000,0,0,-1717.23268847808
8,"on",50000,0,0.25,58501.5893669701
8,"on",50000,0,0.5,118720.411422416
8,"on",50000,0,0.75,178939.233477863
8,"on",50000,0,1,239158.05553331
8,"on",50000,0.05,0,-1717.23268847808
8,"on",50000,0.05,0.25,27744.5776551737
8,"on",50000,0.05,0.5,57206.3879988438
8,"on",50000,0.05,0.75,86668.1983424946
8,"on",50000,0.05,1,116130.008686161
8,"on",50000,0.1,0,-1717.23268847808
8,"on",50000,0.1,0.25,17022.0028888036
8,"on",50000,0.1,0.5,35761.2384660842
8,"on",50000,0.1,0.75,54500.4740433671
8,"on",50000,0.1,1,73239.7096206535
8,"on",1e+05,0,0,-2655.37775345566
8,"on",1e+05,0,0.25,85199.6719602784
8,"on",1e+05,0,0.5,173054.721674008
8,"on",1e+05,0,0.75,260909.771387739
8,"on",1e+05,0,1,348764.821101473
8,"on",1e+05,0.05,0,-2655.37775345566
8,"on",1e+05,0.05,0.25,40355.1066195637
8,"on",1e+05,0.05,0.5,83365.5909926195
8,"on",1e+05,0.05,0.75,126376.075365637
8,"on",1e+05,0.05,1,169386.559738685
8,"on",1e+05,0.1,0,-2655.37775345566
8,"on",1e+05,0.1,0.25,24689.5013943191
8,"on",1e+05,0.1,0.5,52034.3805420918
8,"on",1e+05,0.1,0.75,79379.2596898682
8,"on",1e+05,0.1,1,106724.138837653
8,"on",150000,0,0,-3593.52281843312
8,"on",150000,0,0.25,111897.754553587
8,"on",150000,0,0.5,227389.0319256
8,"on",150000,0,0.75,342880.309297616
8,"on",150000,0,1,458371.586669635
8,"on",150000,0.05,0,-3593.52281843312
8,"on",150000,0.05,0.25,52965.6355839535
8,"on",150000,0.05,0.5,109524.793986395
8,"on",150000,0.05,0.75,166083.95238878
8,"on",150000,0.05,1,222643.11079121
8,"on",150000,0.1,0,-3593.52281843312
8,"on",150000,0.1,0.25,32356.9998998349
8,"on",150000,0.1,0.5,68307.5226180991
8,"on",150000,0.1,0.75,104258.045336369
8,"on",150000,0.1,1,140208.568054651
8,"off",50000,0,0,-1720.18060103187
8,"off",50000,0,0.25,58579.047921521
8,"off",50000,0,0.5,118878.276444071
8,"off",50000,0,0.75,179177.504966623
8,"off",50000,0,1,239476.733489175
8,"off",50000,0.05,0,-1720.18060103187
8,"off",50000,0.05,0.25,27695.3541353758
8,"off",50000,0.05,0.5,57110.8888717929
8,"off",50000,0.05,0.75,86526.4236082083
8,"off",50000,0.05,1,115941.958344626
8,"off",50000,0.1,0,-1720.18060103187
8,"off",50000,0.1,0.25,16984.3882574299
8,"off",50000,0.1,0.5,35688.9571158846
8,"off",50000,0.1,0.75,54393.5259743502
8,"off",50000,0.1,1,73098.0948328079
8,"off",1e+05,0,0,-2672.09189374023
8,"off",1e+05,0,0.25,84776.4453249627
8,"off",1e+05,0,0.5,172224.98254366
8,"off",1e+05,0,0.75,259673.51976236
8,"off",1e+05,0,1,347122.056981062
8,"off",1e+05,0.05,0,-2672.09189374023
8,"off",1e+05,0.05,0.25,40083.270080402
8,"off",1e+05,0.05,0.5,82838.6320545622
8,"off",1e+05,0.05,0.75,125593.994028721
8,"off",1e+05,0.05,1,168349.356002882
8,"off",1e+05,0.1,0,-2672.09189374023
8,"off",1e+05,0.1,0.25,24512.1082174969
8,"off",1e+05,0.1,0.5,51696.308328721
8,"off",1e+05,0.1,0.75,78880.5084399655
8,"off",1e+05,0.1,1,106064.708551196
8,"off",150000,0,0,-3624.00318644894
8,"off",150000,0,0.25,110973.842728404
8,"off",150000,0,0.5,225571.688643249
8,"off",150000,0,0.75,340169.534558097
8,"off",150000,0,1,454767.380472948
8,"off",150000,0.05,0,-3624.00318644894
8,"off",150000,0.05,0.25,52471.1860254281
8,"off",150000,0.05,0.5,108566.375237332
8,"off",150000,0.05,0.75,164661.564449232
8,"off",150000,0.05,1,220756.753661138
8,"off",150000,0.1,0,-3624.00318644894
8,"off",150000,0.1,0.25,32039.8281775638
8,"off",150000,0.1,0.5,67703.6595415575
8,"off",150000,0.1,0.75,103367.490905581
8,"off",150000,0.1,1,139031.322269584
