# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"population","induction_window_weeks","maintenance_cap","lambda_usd_per_qaly","h_per_year","comparator_discounted_qaly","comparator_discounted_cost_usd","intercept_a_usd_per_course","value_of_one_cure_b_usd"
"naive",4,"on",50000,0,17.510086584584,138194.281617571,-1728.78024494543,239293.094281709
"naive",4,"on",50000,0.05,17.510086584584,138194.281617571,-1728.78024494543,117152.212567037
"naive",4,"on",50000,0.1,17.510086584584,138194.281617571,-1728.78024494543,74533.8449789427
"naive",4,"on",1e+05,0,17.510086584584,138194.281617571,-2671.08082138491,349363.862561132
"naive",4,"on",1e+05,0.05,17.510086584584,138194.281617571,-2671.08082138491,171091.20642595
"naive",4,"on",1e+05,0.1,17.510086584584,138194.281617571,-2671.08082138491,108798.249395461
"naive",4,"on",150000,0,17.510086584584,138194.281617571,-3613.38139782427,459434.630840555
"naive",4,"on",150000,0.05,17.510086584584,138194.281617571,-3613.38139782427,225030.200284864
"naive",4,"on",150000,0.1,17.510086584584,138194.281617571,-3613.38139782427,143062.653811979
"naive",4,"off",50000,0,17.5494074189785,139988.92896085,-1730.03501861717,239122.954678936
"naive",4,"off",50000,0.05,17.5494074189785,139988.92896085,-1730.03501861717,117075.013698329
"naive",4,"off",50000,0.1,17.5494074189785,139988.92896085,-1730.03501861717,74487.1888224448
"naive",4,"off",1e+05,0,17.5494074189785,139988.92896085,-2686.13145272853,347241.477096308
"naive",4,"off",1e+05,0.05,17.5494074189785,139988.92896085,-2686.13145272853,170176.86818373
"naive",4,"off",1e+05,0.1,17.5494074189785,139988.92896085,-2686.13145272853,108246.492218193
"naive",4,"off",150000,0,17.5494074189785,139988.92896085,-3642.22788684024,455359.99951368
"naive",4,"off",150000,0.05,17.5494074189785,139988.92896085,-3642.22788684024,223278.722669131
"naive",4,"off",150000,0.1,17.5494074189785,139988.92896085,-3642.22788684024,142005.795613941
"naive",8,"on",50000,0,17.5005206272805,139304.377027644,-1717.21647668665,240869.923788702
"naive",8,"on",50000,0.05,17.5005206272805,139304.377027644,-1717.21647668665,117850.536662898
"naive",8,"on",50000,0.1,17.5005206272805,139304.377027644,-1717.21647668665,74958.5701329393
"naive",8,"on",1e+05,0,17.5005206272805,139304.377027644,-2655.36154166446,351414.834421842
"naive",8,"on",1e+05,0.05,17.5005206272805,139304.377027644,-2655.36154166446,172045.2327804
"naive",8,"on",1e+05,0.1,17.5005206272805,139304.377027644,-2655.36154166446,109381.144414916
"naive",8,"on",150000,0,17.5005206272805,139304.377027644,-3593.50660664169,461959.745054982
"naive",8,"on",150000,0.05,17.5005206272805,139304.377027644,-3593.50660664169,226239.928897903
"naive",8,"on",150000,0.1,17.5005206272805,139304.377027644,-3593.50660664169,143803.718696892
"naive",8,"off",50000,0,17.539749468806,141094.842544347,-1718.46869538748,240700.19944783
"naive",8,"off",50000,0.05,17.539749468806,141094.842544347,-1718.46869538748,117773.483787377
"naive",8,"off",50000,0.1,17.539749468806,141094.842544347,-1718.46869538748,74912.000246666
"naive",8,"off",1e+05,0,17.539749468806,141094.842544347,-2670.37998809596,349297.434232425
"naive",8,"off",1e+05,0.05,17.539749468806,141094.842544347,-2670.37998809596,171132.792738342
"naive",8,"off",1e+05,0.1,17.539749468806,141094.842544347,-2670.37998809596,108830.525257762
"naive",8,"off",150000,0,17.539749468806,141094.842544347,-3622.29128080467,457894.66901702
"naive",8,"off",150000,0.05,17.539749468806,141094.842544347,-3622.29128080467,224492.101689307
"naive",8,"off",150000,0.1,17.539749468806,141094.842544347,-3622.29128080467,142749.050268858
"refractory",4,"on",50000,0,17.4899419757899,138130.786275531,-1722.34769659594,240230.396831027
"refractory",4,"on",50000,0.05,17.4899419757899,138130.786275531,-1722.34769659594,117538.155925715
"refractory",4,"on",50000,0.1,17.4899419757899,138130.786275531,-1722.34769659594,74766.6692326381
"refractory",4,"on",1e+05,0,17.4899419757899,138130.786275531,-2657.78261120268,351301.529888324
"refractory",4,"on",1e+05,0.05,17.4899419757899,138130.786275531,-2657.78261120268,171889.115684301
"refractory",4,"on",1e+05,0.1,17.4899419757899,138130.786275531,-2657.78261120268,109279.590504978
"refractory",4,"on",150000,0,17.4899419757899,138130.786275531,-3593.21752580907,462372.662945622
"refractory",4,"on",150000,0.05,17.4899419757899,138130.786275531,-3593.21752580907,226240.075442887
"refractory",4,"on",150000,0.1,17.4899419757899,138130.786275531,-3593.21752580907,143792.511777319
"refractory",4,"off",50000,0,17.5115809174334,139119.564437335,-1723.03032620414,240137.910540262
"refractory",4,"off",50000,0.05,17.5115809174334,139119.564437335,-1723.03032620414,117496.147244718
"refractory",4,"off",50000,0.1,17.5115809174334,139119.564437335,-1723.03032620414,74741.279902088
"refractory",4,"off",1e+05,0,17.5115809174334,139119.564437335,-2666.05739333457,350134.688667905
"refractory",4,"off",1e+05,0.05,17.5115809174334,139119.564437335,-2666.05739333457,171386.410490891
"refractory",4,"off",1e+05,0.1,17.5115809174334,139119.564437335,-2666.05739333457,108976.232674621
"refractory",4,"off",150000,0,17.5115809174334,139119.564437335,-3609.08446046524,460131.466795548
"refractory",4,"off",150000,0.05,17.5115809174334,139119.564437335,-3609.08446046524,225276.673737065
"refractory",4,"off",150000,0.1,17.5115809174334,139119.564437335,-3609.08446046524,143211.185447153
"refractory",8,"on",50000,0,17.4804218485939,139241.026068637,-1710.79843621899,241805.093723557
"refractory",8,"on",50000,0.05,17.4804218485939,139241.026068637,-1710.79843621899,118235.610157292
"refractory",8,"on",50000,0.1,17.4804218485939,139241.026068637,-1710.79843621899,75190.8688580538
"refractory",8,"on",1e+05,0,17.4804218485939,139241.026068637,-2642.09332466405,353348.093114493
"refractory",8,"on",1e+05,0.05,17.4804218485939,139241.026068637,-2642.09332466405,172841.343711083
"refractory",8,"on",1e+05,0.1,17.4804218485939,139241.026068637,-2642.09332466405,109861.399057736
"refractory",8,"on",150000,0,17.4804218485939,139241.026068637,-3573.38821310876,464891.09250543
"refractory",8,"on",150000,0.05,17.4804218485939,139241.026068637,-3573.38821310876,227447.077264874
"refractory",8,"on",150000,0.1,17.4804218485939,139241.026068637,-3573.38821310876,144531.929257418
"refractory",8,"off",50000,0,17.5020101646208,140227.500247908,-1711.47967723047,241712.833342491
"refractory",8,"off",50000,0.05,17.5020101646208,140227.500247908,-1711.47967723047,118193.680769039
"refractory",8,"off",50000,0.1,17.5020101646208,140227.500247908,-1711.47967723047,75165.5263669776
"refractory",8,"off",1e+05,0,17.5020101646208,140227.500247908,-2650.35041233897,352183.992778742
"refractory",8,"off",1e+05,0.05,17.5020101646208,140227.500247908,-2650.35041233897,172339.682074802
"refractory",8,"off",1e+05,0.1,17.5020101646208,140227.500247908,-2650.35041233897,109558.666857778
"refractory",8,"off",150000,0,17.5020101646208,140227.500247908,-3589.22114744736,462655.152214994
"refractory",8,"off",150000,0.05,17.5020101646208,140227.500247908,-3589.22114744736,226485.683380566
"refractory",8,"off",150000,0.1,17.5020101646208,140227.500247908,-3589.22114744736,143951.807348578
