# commit: 843a4593a9392c776349f95e968cd36a2910a22e
# spec_sha256: 33fb719c79072b1c1c98442899a3d3f77128b62342937afc902080c73dda6635
"benchmark_anchor","benchmark_cost_usd_per_course","lambda_usd_per_qaly","h_per_year","intercept_a_usd_per_course","value_of_one_cure_b_usd","required_cure_fraction_all_treated","achievable"
"Allogeneic, batch-amortised (low)",12265.9588460686,50000,0,-1717.21647668665,240869.923788702,0.0580528075187241,TRUE
"Allogeneic median",38633.5982702705,50000,0,-1717.21647668665,240869.923788702,0.167521183683996,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,50000,0,-1717.21647668665,240869.923788702,0.293418036383832,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,50000,0,-1717.21647668665,240869.923788702,1.58614007122122,FALSE
"Allogeneic, batch-amortised (low)",12265.9588460686,50000,0.05,-1717.21647668665,117850.536662898,0.118651774686042,TRUE
"Allogeneic median",38633.5982702705,50000,0.05,-1717.21647668665,117850.536662898,0.342389741188684,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,50000,0.05,-1717.21647668665,117850.536662898,0.59970520341512,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,50000,0.05,-1717.21647668665,117850.536662898,3.24184724899552,FALSE
"Allogeneic, batch-amortised (low)",12265.9588460686,50000,0.1,-1717.21647668665,74958.5701329393,0.186545384976742,TRUE
"Allogeneic median",38633.5982702705,50000,0.1,-1717.21647668665,74958.5701329393,0.538308223801426,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,50000,0.1,-1717.21647668665,74958.5701329393,0.942861902737217,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,50000,0.1,-1717.21647668665,74958.5701329393,5.0968613381457,FALSE
"Allogeneic, batch-amortised (low)",12265.9588460686,1e+05,0,-2655.36154166446,351414.834421842,0.0424607015019217,TRUE
"Allogeneic median",38633.5982702705,1e+05,0,-2655.36154166446,351414.834421842,0.117493502742606,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,1e+05,0,-2655.36154166446,351414.834421842,0.203786858471137,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,1e+05,0,-2655.36154166446,351414.834421842,1.0898560493849,FALSE
"Allogeneic, batch-amortised (low)",12265.9588460686,1e+05,0.05,-2655.36154166446,172045.2327804,0.0867290546014648,TRUE
"Allogeneic median",38633.5982702705,1e+05,0.05,-2655.36154166446,172045.2327804,0.239988979320552,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,1e+05,0.05,-2655.36154166446,172045.2327804,0.416249401216425,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,1e+05,0.05,-2655.36154166446,172045.2327804,2.22610982558925,FALSE
"Allogeneic, batch-amortised (low)",12265.9588460686,1e+05,0.1,-2655.36154166446,109381.144414916,0.136415837186088,TRUE
"Allogeneic median",38633.5982702705,1e+05,0.1,-2655.36154166446,109381.144414916,0.377477855372527,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,1e+05,0.1,-2655.36154166446,109381.144414916,0.654717277918848,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,1e+05,0.1,-2655.36154166446,109381.144414916,3.50144062934135,FALSE
"Allogeneic, batch-amortised (low)",12265.9588460686,150000,0,-3593.50660664169,461959.745054982,0.034330838611972,TRUE
"Allogeneic median",38633.5982702705,150000,0,-3593.50660664169,461959.745054982,0.091408624515295,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,150000,0,-3593.50660664169,461959.745054982,0.157052364342534,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,150000,0,-3593.50660664169,461959.745054982,0.831089142101595,TRUE
"Allogeneic, batch-amortised (low)",12265.9588460686,150000,0.05,-3593.50660664169,226239.928897903,0.0701002052554008,TRUE
"Allogeneic median",38633.5982702705,150000,0.05,-3593.50660664169,226239.928897903,0.186647445844842,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,150000,0.05,-3593.50660664169,226239.928897903,0.320685524192771,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,150000,0.05,-3593.50660664169,226239.928897903,1.69700251442562,FALSE
"Allogeneic, batch-amortised (low)",12265.9588460686,150000,0.1,-3593.50660664169,143803.718696892,0.110285503020536,TRUE
"Allogeneic median",38633.5982702705,150000,0.1,-3593.50660664169,143803.718696892,0.293644039664358,TRUE
"Allogeneic, single-treatment batch (high)",68958.3635853176,150000,0.1,-3593.50660664169,143803.718696892,0.504520125414027,TRUE
"Autologous CAR-T cost of goods (upper)",380336.221596575,150000,0.1,-3593.50660664169,143803.718696892,2.66981780222568,FALSE
