# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"population","lambda_usd_per_qaly","h_per_year","benchmark_anchor","benchmark_cost_usd_per_course","required_cure_fraction_all_treated","achievable"
"naive",50000,0,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0580528075187241,TRUE
"naive",50000,0,"Allogeneic median",38633.5982702705,0.167521183683996,TRUE
"naive",50000,0,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.293418036383832,TRUE
"naive",50000,0,"Autologous CAR-T cost of goods (upper)",380336.221596575,1.58614007122122,FALSE
"naive",50000,0.05,"Allogeneic, batch-amortised (low)",12265.9588460686,0.118651774686042,TRUE
"naive",50000,0.05,"Allogeneic median",38633.5982702705,0.342389741188684,TRUE
"naive",50000,0.05,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.59970520341512,TRUE
"naive",50000,0.05,"Autologous CAR-T cost of goods (upper)",380336.221596575,3.24184724899552,FALSE
"naive",50000,0.1,"Allogeneic, batch-amortised (low)",12265.9588460686,0.186545384976742,TRUE
"naive",50000,0.1,"Allogeneic median",38633.5982702705,0.538308223801426,TRUE
"naive",50000,0.1,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.942861902737217,TRUE
"naive",50000,0.1,"Autologous CAR-T cost of goods (upper)",380336.221596575,5.0968613381457,FALSE
"naive",1e+05,0,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0424607015019217,TRUE
"naive",1e+05,0,"Allogeneic median",38633.5982702705,0.117493502742606,TRUE
"naive",1e+05,0,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.203786858471137,TRUE
"naive",1e+05,0,"Autologous CAR-T cost of goods (upper)",380336.221596575,1.0898560493849,FALSE
"naive",1e+05,0.05,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0867290546014648,TRUE
"naive",1e+05,0.05,"Allogeneic median",38633.5982702705,0.239988979320552,TRUE
"naive",1e+05,0.05,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.416249401216425,TRUE
"naive",1e+05,0.05,"Autologous CAR-T cost of goods (upper)",380336.221596575,2.22610982558925,FALSE
"naive",1e+05,0.1,"Allogeneic, batch-amortised (low)",12265.9588460686,0.136415837186088,TRUE
"naive",1e+05,0.1,"Allogeneic median",38633.5982702705,0.377477855372527,TRUE
"naive",1e+05,0.1,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.654717277918848,TRUE
"naive",1e+05,0.1,"Autologous CAR-T cost of goods (upper)",380336.221596575,3.50144062934135,FALSE
"naive",150000,0,"Allogeneic, batch-amortised (low)",12265.9588460686,0.034330838611972,TRUE
"naive",150000,0,"Allogeneic median",38633.5982702705,0.091408624515295,TRUE
"naive",150000,0,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.157052364342534,TRUE
"naive",150000,0,"Autologous CAR-T cost of goods (upper)",380336.221596575,0.831089142101595,TRUE
"naive",150000,0.05,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0701002052554008,TRUE
"naive",150000,0.05,"Allogeneic median",38633.5982702705,0.186647445844842,TRUE
"naive",150000,0.05,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.320685524192771,TRUE
"naive",150000,0.05,"Autologous CAR-T cost of goods (upper)",380336.221596575,1.69700251442562,FALSE
"naive",150000,0.1,"Allogeneic, batch-amortised (low)",12265.9588460686,0.110285503020536,TRUE
"naive",150000,0.1,"Allogeneic median",38633.5982702705,0.293644039664358,TRUE
"naive",150000,0.1,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.504520125414027,TRUE
"naive",150000,0.1,"Autologous CAR-T cost of goods (upper)",380336.221596575,2.66981780222568,FALSE
"refractory",50000,0,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0578017487847733,TRUE
"refractory",50000,0,"Allogeneic median",38633.5982702705,0.166846761105095,TRUE
"refractory",50000,0,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.292256713592348,TRUE
"refractory",50000,0,"Autologous CAR-T cost of goods (upper)",380336.221596575,1.57997920618483,FALSE
"refractory",50000,0.05,"Allogeneic, batch-amortised (low)",12265.9588460686,0.118211064024569,TRUE
"refractory",50000,0.05,"Allogeneic median",38633.5982702705,0.341220353604285,TRUE
"refractory",50000,0.05,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.597697782652143,TRUE
"refractory",50000,0.05,"Autologous CAR-T cost of goods (upper)",380336.221596575,3.2312348160131,FALSE
"refractory",50000,0.1,"Allogeneic, batch-amortised (low)",12265.9588460686,0.185883704957221,TRUE
"refractory",50000,0.1,"Allogeneic median",38633.5982702705,0.536559788697909,TRUE
"refractory",50000,0.1,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.939863617681379,TRUE
"refractory",50000,0.1,"Autologous CAR-T cost of goods (upper)",380336.221596575,5.08102946321882,FALSE
"refractory",1e+05,0,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0421908380467815,TRUE
"refractory",1e+05,0,"Allogeneic median",38633.5982702705,0.116813115449756,TRUE
"refractory",1e+05,0,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.202634337938202,TRUE
"refractory",1e+05,0,"Autologous CAR-T cost of goods (upper)",380336.221596575,1.08385561542324,FALSE
"refractory",1e+05,0.05,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0862528134220743,TRUE
"refractory",1e+05,0.05,"Allogeneic median",38633.5982702705,0.238806819645709,TRUE
"refractory",1e+05,0.05,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.414255382263558,TRUE
"refractory",1e+05,0.05,"Autologous CAR-T cost of goods (upper)",380336.221596575,2.21577955076197,FALSE
"refractory",1e+05,0.1,"Allogeneic, batch-amortised (low)",12265.9588460686,0.135698728567056,TRUE
"refractory",1e+05,0.1,"Allogeneic median",38633.5982702705,0.375706953934228,TRUE
"refractory",1e+05,0.1,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.651734435607845,TRUE
"refractory",1e+05,0.1,"Autologous CAR-T cost of goods (upper)",380336.221596575,3.48601345154881,FALSE
"refractory",150000,0,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0340710917342267,TRUE
"refractory",150000,0,"Allogeneic median",38633.5982702705,0.090788976523327,TRUE
"refractory",150000,0,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.15601880304381,TRUE
"refractory",150000,0,"Autologous CAR-T cost of goods (upper)",380336.221596575,0.825805475731285,TRUE
"refractory",150000,0.05,"Allogeneic, batch-amortised (low)",12265.9588460686,0.0696397036605206,TRUE
"refractory",150000,0.05,"Allogeneic median",38633.5982702705,0.185568383603483,TRUE
"refractory",150000,0.05,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.318895070759512,TRUE
"refractory",150000,0.05,"Autologous CAR-T cost of goods (upper)",380336.221596575,1.68790742192128,FALSE
"refractory",150000,0.1,"Allogeneic, batch-amortised (low)",12265.9588460686,0.109590642984962,TRUE
"refractory",150000,0.1,"Allogeneic median",38633.5982702705,0.292025344851011,TRUE
"refractory",150000,0.1,"Allogeneic, single-treatment batch (high)",68958.3635853176,0.501838951234396,TRUE
"refractory",150000,0.1,"Autologous CAR-T cost of goods (upper)",380336.221596575,2.65622697892535,FALSE
