# commit: 843a4593a9392c776349f95e968cd36a2910a22e
# spec_sha256: 33fb719c79072b1c1c98442899a3d3f77128b62342937afc902080c73dda6635
"scenario","label","comparator_therapy","lambda_usd_per_qaly","h_per_year","comparator_discounted_cost_usd","comparator_discounted_qaly","intercept_a_usd_per_course","value_of_one_cure_b_usd","required_cure_fraction_at_median_benchmark"
"base","Base case (IFX biosimilar, 2023 life table)","IFX",50000,0,139304.377027644,17.5005206272805,-1717.21647668665,240869.923788702,0.167521183683996
"base","Base case (IFX biosimilar, 2023 life table)","IFX",50000,0.05,139304.377027644,17.5005206272805,-1717.21647668665,117850.536662898,0.342389741188684
"base","Base case (IFX biosimilar, 2023 life table)","IFX",50000,0.1,139304.377027644,17.5005206272805,-1717.21647668665,74958.5701329393,0.538308223801426
"base","Base case (IFX biosimilar, 2023 life table)","IFX",1e+05,0,139304.377027644,17.5005206272805,-2655.36154166446,351414.834421842,0.117493502742606
"base","Base case (IFX biosimilar, 2023 life table)","IFX",1e+05,0.05,139304.377027644,17.5005206272805,-2655.36154166446,172045.2327804,0.239988979320552
"base","Base case (IFX biosimilar, 2023 life table)","IFX",1e+05,0.1,139304.377027644,17.5005206272805,-2655.36154166446,109381.144414916,0.377477855372527
"base","Base case (IFX biosimilar, 2023 life table)","IFX",150000,0,139304.377027644,17.5005206272805,-3593.50660664169,461959.745054982,0.091408624515295
"base","Base case (IFX biosimilar, 2023 life table)","IFX",150000,0.05,139304.377027644,17.5005206272805,-3593.50660664169,226239.928897903,0.186647445844842
"base","Base case (IFX biosimilar, 2023 life table)","IFX",150000,0.1,139304.377027644,17.5005206272805,-3593.50660664169,143803.718696892,0.293644039664358
"S4","S4: originator infliximab pricing","IFX",50000,0,140222.333438162,17.5005206272805,-1710.96845658473,241781.632179118,0.166863654460596
"S4","S4: originator infliximab pricing","IFX",50000,0.05,140222.333438162,17.5005206272805,-1710.96845658473,118225.061689458,0.341252236626684
"S4","S4: originator infliximab pricing","IFX",50000,0.1,140222.333438162,17.5005206272805,-1710.96845658473,75184.5597955327,0.536607075130504
