# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"induction_window_weeks","maintenance_cap","lambda_usd_per_qaly","h_per_year","intercept_a_usd_per_course","value_of_one_cure_b_usd"
4,"on",50000,0,-1728.78024494543,239293.094281709
4,"on",50000,0.05,-1728.78024494543,117152.212567037
4,"on",50000,0.1,-1728.78024494543,74533.8449789427
4,"on",1e+05,0,-2671.08082138491,349363.862561132
4,"on",1e+05,0.05,-2671.08082138491,171091.20642595
4,"on",1e+05,0.1,-2671.08082138491,108798.249395461
4,"on",150000,0,-3613.38139782427,459434.630840555
4,"on",150000,0.05,-3613.38139782427,225030.200284864
4,"on",150000,0.1,-3613.38139782427,143062.653811979
4,"off",50000,0,-1730.03501861717,239122.954678936
4,"off",50000,0.05,-1730.03501861717,117075.013698329
4,"off",50000,0.1,-1730.03501861717,74487.1888224448
4,"off",1e+05,0,-2686.13145272853,347241.477096308
4,"off",1e+05,0.05,-2686.13145272853,170176.86818373
4,"off",1e+05,0.1,-2686.13145272853,108246.492218193
4,"off",150000,0,-3642.22788684024,455359.99951368
4,"off",150000,0.05,-3642.22788684024,223278.722669131
4,"off",150000,0.1,-3642.22788684024,142005.795613941
8,"on",50000,0,-1717.21647668665,240869.923788702
8,"on",50000,0.05,-1717.21647668665,117850.536662898
8,"on",50000,0.1,-1717.21647668665,74958.5701329393
8,"on",1e+05,0,-2655.36154166446,351414.834421842
8,"on",1e+05,0.05,-2655.36154166446,172045.2327804
8,"on",1e+05,0.1,-2655.36154166446,109381.144414916
8,"on",150000,0,-3593.50660664169,461959.745054982
8,"on",150000,0.05,-3593.50660664169,226239.928897903
8,"on",150000,0.1,-3593.50660664169,143803.718696892
8,"off",50000,0,-1718.46869538748,240700.19944783
8,"off",50000,0.05,-1718.46869538748,117773.483787377
8,"off",50000,0.1,-1718.46869538748,74912.000246666
8,"off",1e+05,0,-2670.37998809596,349297.434232425
8,"off",1e+05,0.05,-2670.37998809596,171132.792738342
8,"off",1e+05,0.1,-2670.37998809596,108830.525257762
8,"off",150000,0,-3622.29128080467,457894.66901702
8,"off",150000,0.05,-3622.29128080467,224492.101689307
8,"off",150000,0.1,-3622.29128080467,142749.050268858
