# commit: 6361cf13768b42e61969ae5ee24f505a16b1c03f
# spec_sha256: 33fb719c79072b1c1c98442899a3d3f77128b62342937afc902080c73dda6635
"induction_window_weeks","maintenance_cap","lambda_usd_per_qaly","h_per_year","intercept_a_usd_per_course","intercept_a_independent_usd_per_course","intercept_agreement_usd","value_of_one_cure_b_usd","required_cure_fraction_at_hypothetical_price"
4,"on",50000,0,-1728.79621171253,-1728.79621171206,-4.65661287307739e-10,239298.460595764,0.090802072682022
4,"on",50000,0.05,-1728.79621171253,-1728.79621171206,-4.65661287307739e-10,117148.92889261,0.185480109951592
4,"on",50000,0.1,-1728.79621171253,-1728.79621171206,-4.65661287307739e-10,74532.222693169,0.291535599322788
4,"on",1e+05,0,-2671.09678815212,-2671.09678815119,-9.31322574615479e-10,349369.228875187,0.0648915099396216
4,"on",1e+05,0.05,-2671.09678815212,-2671.09678815119,-9.31322574615479e-10,171087.922751523,0.132511380251417
4,"on",1e+05,0.1,-2671.09678815212,-2671.09678815119,-9.31322574615479e-10,108796.627109687,0.208380511330517
4,"on",150000,0,-3613.39736459125,-3613.39736459032,-9.31322574615479e-10,459439.99715461,0.0513960419441778
4,"on",150000,0.05,-3613.39736459125,-3613.39736459032,-9.31322574615479e-10,225026.916610437,0.104935879317364
4,"on",150000,0.1,-3613.39736459125,-3613.39736459032,-9.31322574615479e-10,143061.031526205,0.165058207065045
4,"off",50000,0,-1731.72961547505,-1731.72961547493,-1.16415321826935e-10,239619.010990155,0.0906928441348418
4,"off",50000,0.05,-1731.72961547505,-1731.72961547493,-1.16415321826935e-10,116964.572567314,0.185797537993551
4,"off",50000,0.1,-1731.72961547505,-1731.72961547493,-1.16415321826935e-10,74394.1285994934,0.292116192831151
4,"off",1e+05,0,-2687.82604958676,-2687.82604958653,-2.3283064365387e-10,347737.533407527,0.0652441104854737
4,"off",1e+05,0.05,-2687.82604958676,-2687.82604958653,-2.3283064365387e-10,170066.427052715,0.133405672376208
4,"off",1e+05,0.1,-2687.82604958676,-2687.82604958653,-2.3283064365387e-10,108153.431995242,0.209774443871415
4,"off",150000,0,-3643.922483698,-3643.92248369753,-4.65661287307739e-10,455856.055824898,0.0518670799292398
4,"off",150000,0.05,-3643.922483698,-3643.92248369753,-4.65661287307739e-10,223168.281538116,0.105946608186163
4,"off",150000,0.1,-3643.922483698,-3643.92248369753,-4.65661287307739e-10,141912.73539099,0.166608884104416
8,"on",50000,0,-1717.23268847808,-1717.23268847761,-4.65661287307739e-10,240875.288221788,0.0901596541878623
8,"on",50000,0.05,-1717.23268847808,-1717.23268847761,-4.65661287307739e-10,117847.241374639,0.184282910954516
8,"on",50000,0.1,-1717.23268847808,-1717.23268847761,-4.65661287307739e-10,74956.9423091315,0.289729436920113
8,"on",1e+05,0,-2655.37775345566,-2655.37775345473,-9.31322574615479e-10,351420.198854928,0.0644680579752565
8,"on",1e+05,0.05,-2655.37775345566,-2655.37775345473,-9.31322574615479e-10,172041.937492142,0.131685204687319
8,"on",1e+05,0.1,-2655.37775345566,-2655.37775345473,-9.31322574615479e-10,109379.516591108,0.20712632912932
8,"on",150000,0,-3593.52281843312,-3593.52281843219,-9.31322574615479e-10,461965.109488068,0.0510720882028917
8,"on",150000,0.05,-3593.52281843312,-3593.52281843219,-9.31322574615479e-10,226236.633609645,0.104286924898034
8,"on",150000,0.1,-3593.52281843312,-3593.52281843219,-9.31322574615479e-10,143802.090873084,0.164069400348679
8,"off",50000,0,-1720.18060103187,-1720.18060103152,-3.49245965480804e-10,241196.914090207,0.0900516521239928
8,"off",50000,0.05,-1720.18060103187,-1720.18060103152,-3.49245965480804e-10,117662.138945658,0.184597873161759
8,"off",50000,0.1,-1720.18060103187,-1720.18060103152,-3.49245965480804e-10,74818.2754338396,0.290305817329866
8,"off",1e+05,0,-2672.09189374023,-2672.09189373977,-4.65661287307739e-10,349794.148874802,0.0648155264079475
8,"off",1e+05,0.05,-2672.09189374023,-2672.09189373977,-4.65661287307739e-10,171021.447896623,0.132568705110278
8,"off",1e+05,0.1,-2672.09189374023,-2672.09189373977,-4.65661287307739e-10,108736.800444936,0.208504313176121
8,"off",150000,0,-3624.00318644894,-3624.00318644801,-9.31322574615479e-10,458391.383659396,0.0515367522789271
8,"off",150000,0.05,-3624.00318644894,-3624.00318644801,-9.31322574615479e-10,224380.756847588,0.105285335152406
8,"off",150000,0.1,-3624.00318644894,-3624.00318644801,-9.31322574615479e-10,142655.325456032,0.165601971822147
