# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"lambda_usd_per_qaly","h_per_year","pi_cure","price_usd_per_course","evpi_per_patient_usd","assumed_trial_cost_usd","breakeven_eligible_population"
50000,0,0.25,20000,0,2.5e+07,NA
50000,0,0.25,20000,0,5e+07,NA
50000,0,0.25,20000,0,1e+08,NA
50000,0.05,0.25,20000,606.408975864731,2.5e+07,41226.302701655
50000,0.05,0.25,20000,606.408975864731,5e+07,82452.60540331
50000,0.05,0.25,20000,606.408975864731,1e+08,164905.21080662
50000,0.1,0.25,20000,588.026409957837,2.5e+07,42515.0972416232
50000,0.1,0.25,20000,588.026409957837,5e+07,85030.1944832463
50000,0.1,0.25,20000,588.026409957837,1e+08,170060.388966493
1e+05,0,0.25,20000,0,2.5e+07,NA
1e+05,0,0.25,20000,0,5e+07,NA
1e+05,0,0.25,20000,0,1e+08,NA
1e+05,0.05,0.25,20000,182.455088548806,2.5e+07,137020.02064641
1e+05,0.05,0.25,20000,182.455088548806,5e+07,274040.04129282
1e+05,0.05,0.25,20000,182.455088548806,1e+08,548080.082585641
1e+05,0.1,0.25,20000,1516.8735684895,2.5e+07,16481.2681289548
1e+05,0.1,0.25,20000,1516.8735684895,5e+07,32962.5362579097
1e+05,0.1,0.25,20000,1516.8735684895,1e+08,65925.0725158194
150000,0,0.25,20000,0,2.5e+07,NA
150000,0,0.25,20000,0,5e+07,NA
150000,0,0.25,20000,0,1e+08,NA
150000,0.05,0.25,20000,99.17385618341,2.5e+07,252082.564519479
150000,0.05,0.25,20000,99.17385618341,5e+07,504165.129038958
150000,0.05,0.25,20000,99.17385618341,1e+08,1008330.25807792
150000,0.1,0.25,20000,772.016510477119,2.5e+07,32382.7271317677
150000,0.1,0.25,20000,772.016510477119,5e+07,64765.4542635353
150000,0.1,0.25,20000,772.016510477119,1e+08,129530.908527071
